theta_over_pi,phi_over_pi,data,error
0,0,1.862,0.080766639152561
0,0.0625,1.841,0.0629085844698479
0,0.125,1.87,0.0713751357266661
0,0.1875,1.883,0.092795527909485
0,0.25,1.855,0.0747275718861518
0,0.3125,1.877,0.0757998021105597
0,0.375,1.883,0.0850569809010406
0,0.4375,1.909,0.118076924079178
0,0.5,1.863,0.078582758923316
0,0.5625,1.871,0.0886961667717382
0,0.625,1.892,0.0987180328004969
0,0.6875,1.907,0.117086122149467
0,0.75,1.846,0.0587278468871455
0,0.8125,1.888,0.107489534374282
0,0.875,1.869,0.0807450308068551
0,0.9375,1.878,0.0835811581637871
0,1,1.891,0.0978621479429101
0.0625,0,1.917,0.114721227329558
0.0625,0.0625,1.878,0.0757326877906758
0.0625,0.125,1.878,0.0794654641967187
0.0625,0.1875,1.87,0.076449264221443
0.0625,0.25,1.91,0.110278919109683
0.0625,0.3125,1.869,0.0882550848393451
0.0625,0.375,1.871,0.0792449367467726
0.0625,0.4375,1.858,0.0788542960148655
0.0625,0.5,1.887,0.101336123865086
0.0625,0.5625,1.837,0.0612081693893878
0.0625,0.625,1.91,0.125258971734563
0.0625,0.6875,1.875,0.0930658369112962
0.0625,0.75,1.847,0.0640955536679418
0.0625,0.8125,1.843,0.0616137160054479
0.0625,0.875,1.844,0.0666490059940881
0.0625,0.9375,1.849,0.0823771813064759
0.0625,1,1.868,0.091378826869248
0.125,0,1.875,0.0715128659752916
0.125,0.0625,1.856,0.0696078300193306
0.125,0.125,1.868,0.0734931969640729
0.125,0.1875,1.862,0.0735611310407882
0.125,0.25,1.859,0.0746351793727328
0.125,0.3125,1.881,0.100580763568388
0.125,0.375,1.82,0.0503846206694067
0.125,0.4375,1.851,0.0823771813064759
0.125,0.5,1.85,0.0946955648380642
0.125,0.5625,1.815,0.0644692950170854
0.125,0.625,1.827,0.085230334975289
0.125,0.6875,1.825,0.0825738457382239
0.125,0.75,1.837,0.101668530037569
0.125,0.8125,1.825,0.0939489755133072
0.125,0.875,1.814,0.089896829755003
0.125,0.9375,1.822,0.0950368349641339
0.125,1,1.819,0.090736100863989
0.1875,0,1.9,0.0995620911793237
0.1875,0.0625,1.873,0.0783661278869896
0.1875,0.125,1.879,0.0919034819797379
0.1875,0.1875,1.876,0.0883821814621024
0.1875,0.25,1.858,0.0935109084545755
0.1875,0.3125,1.87,0.105433628411432
0.1875,0.375,1.823,0.0749196903357187
0.1875,0.4375,1.821,0.0935534606521854
0.1875,0.5,1.813,0.0943445281932131
0.1875,0.5625,1.797,0.0929139386744528
0.1875,0.625,1.805,0.109474608928281
0.1875,0.6875,1.778,0.0973717104707523
0.1875,0.75,1.748,0.0894497065394851
0.1875,0.8125,1.769,0.10838247090743
0.1875,0.875,1.753,0.0960835053482126
0.1875,0.9375,1.751,0.107091969820337
0.1875,1,1.75,0.108581029650671
0.25,0,1.898,0.105478955247006
0.25,0.0625,1.842,0.0549935450757632
0.25,0.125,1.848,0.0692730827955564
0.25,0.1875,1.864,0.0896635935037181
0.25,0.25,1.838,0.0910823802938857
0.25,0.3125,1.829,0.0987969635160918
0.25,0.375,1.77,0.0647190852840182
0.25,0.4375,1.762,0.078188298357235
0.25,0.5,1.752,0.0853478177811243
0.25,0.5625,1.731,0.0967470929795827
0.25,0.625,1.711,0.100518853952878
0.25,0.6875,1.688,0.0915631476086313
0.25,0.75,1.663,0.0859071591894412
0.25,0.8125,1.663,0.0956347217280418
0.25,0.875,1.62,0.0791679227970521
0.25,0.9375,1.638,0.096052537707236
0.25,1,1.637,0.0992282721808659
0.3125,0,1.875,0.0976729235765983
0.3125,0.0625,1.845,0.0729756123646797
0.3125,0.125,1.842,0.0843445315358384
0.3125,0.1875,1.819,0.0749196903357187
0.3125,0.25,1.804,0.0924188833518347
0.3125,0.3125,1.799,0.107091969820337
0.3125,0.375,1.757,0.0979379395331553
0.3125,0.4375,1.736,0.115326016145534
0.3125,0.5,1.678,0.0883871597009429
0.3125,0.5625,1.647,0.0983172924769596
0.3125,0.625,1.619,0.096429456080598
0.3125,0.6875,1.582,0.0878708711690059
0.3125,0.75,1.571,0.105574665521611
0.3125,0.8125,1.544,0.0996032629987592
0.3125,0.875,1.526,0.0936482781475452
0.3125,0.9375,1.528,0.103486279283778
0.3125,1,1.515,0.0930767962491188
0.375,0,1.863,0.0975746380982272
0.375,0.0625,1.832,0.0814862565099171
0.375,0.125,1.838,0.0947943036263257
0.375,0.1875,1.793,0.0777704956908467
0.375,0.25,1.787,0.104412451364768
0.375,0.3125,1.72,0.0762501803276555
0.375,0.375,1.708,0.102405517429482
0.375,0.4375,1.649,0.0918609819237743
0.375,0.5,1.602,0.102293157151395
0.375,0.5625,1.564,0.102588547119062
0.375,0.625,1.51,0.094033238804159
0.375,0.6875,1.5004,0.116521328519718
0.375,0.75,1.4514,0.102061990966275
0.375,0.8125,1.4354,0.101753869705284
0.375,0.875,1.3999,0.0910398813707488
0.375,0.9375,1.386,0.0867006343690747
0.375,1,1.387,0.0922835304916321
0.4375,0,1.833,0.0879614119941239
0.4375,0.0625,1.797,0.0744398414829048
0.4375,0.125,1.781,0.0760005921029567
0.4375,0.1875,1.74,0.0633482438588475
0.4375,0.25,1.719,0.0832216318032758
0.4375,0.3125,1.695,0.109559162099753
0.4375,0.375,1.617,0.0858079833115777
0.4375,0.4375,1.545,0.075208776083646
0.4375,0.5,1.514,0.0981109575939405
0.4375,0.5625,1.4644,0.0985088828481979
0.4375,0.625,1.4191,0.103346843202877
0.4375,0.6875,1.3801,0.10771095580302
0.4375,0.75,1.3346,0.0989380614323932
0.4375,0.8125,1.2959,0.0880817801818289
0.4375,0.875,1.2797,0.0956629499858748
0.4375,0.9375,1.259,0.0918460124338558
0.4375,1,1.261,0.0892107616826578
0.5,0,1.774,0.0662905724820657
0.5,0.0625,1.753,0.0500028999159047
0.5,0.125,1.751,0.0726614753497339
0.5,0.1875,1.694,0.0527276967067593
0.5,0.25,1.656,0.0745718445527532
0.5,0.3125,1.639,0.110747641058399
0.5,0.375,1.558,0.100901387502849
0.5,0.4375,1.46,0.0697208720542134
0.5,0.5,1.426,0.098608366784974
0.5,0.5625,1.3536,0.089328215027504
0.5,0.625,1.3077,0.0965586350359201
0.5,0.6875,1.2507,0.0880817801818286
0.5,0.75,1.1992,0.0804165405871206
0.5,0.8125,1.1897,0.102305522822573
0.5,0.875,1.1471,0.0822276109345274
0.5,0.9375,1.1297,0.0792335787403295
0.5,1,1.113,0.0708240072291876
0.5625,0,1.746,0.0737881426788884
0.5625,0.0625,1.707,0.051531446709752
0.5625,0.125,1.693,0.0601518910758423
0.5625,0.1875,1.67,0.083715530219906
0.5625,0.25,1.618,0.0936718207360145
0.5625,0.3125,1.533,0.0735274778569209
0.5625,0.375,1.483,0.095634721728042
0.5625,0.4375,1.406,0.0920448260360135
0.5625,0.5,1.3345,0.096807541028579
0.5625,0.5625,1.2609,0.0914055249971247
0.5625,0.625,1.1882,0.0805503569203761
0.5625,0.6875,1.1371,0.0814214345243315
0.5625,0.75,1.0839,0.0710721464428928
0.5625,0.8125,1.0379,0.0628477525453377
0.5625,0.875,1.0202,0.0739743198684517
0.5625,0.9375,1.0073,0.0764308838101458
0.5625,1,0.993,0.0653118672218151
0.625,0,1.644,0.0244573097457589
0.625,0.0625,1.653,0.0374364795353409
0.625,0.125,1.632,0.0474168746334044
0.625,0.1875,1.594,0.0575646592971764
0.625,0.25,1.537,0.0637397834950826
0.625,0.3125,1.463,0.0684891232240566
0.625,0.375,1.375,0.064183798578769
