theta_over_pi,phi_over_pi,data,error
0,0,-0.000174,0.000156204993518133
0,0.0625,-0.00017,0.000168002976164114
0,0.125,-5.7e-05,0.000104694794521982
0,0.1875,4.1e-05,0.00011866022922614
0,0.25,0.00012,0.00015556349186104
0,0.3125,0.0001,0.000134848062648301
0,0.375,-8.9e-05,0.00014012223235447
0,0.4375,-0.00014,0.000147322774885623
0,0.5,2.9e-05,0.000129618671494503
0,0.5625,-2e-05,0.000120149906367005
0,0.625,7.1e-05,0.00014113996599121
0,0.6875,0.0001,0.000142126704035519
0,0.75,1.1e-05,0.000114843371598016
0,0.8125,-2.3e-06,0.000111930737512088
0,0.875,-3.1e-05,0.000128280941686597
0,0.9375,5.5e-05,0.00010846197490365
0,1,0.00011,0.000181110463529858
0.0625,0,0.0628,0.00526972485050215
0.0625,0.0625,0.0573,0.00485077313425396
0.0625,0.125,0.0491,0.00511566222497147
0.0625,0.1875,0.054,0.00646374504447693
0.0625,0.25,0.0388,0.0054
0.0625,0.3125,0.0332,0.00626498204307083
0.0625,0.375,0.0198,0.0064007812023221
0.0625,0.4375,0.0181,0.00894986033410578
0.0625,0.5,-0.00018,0.00576451212159364
0.0625,0.5625,-0.0197,0.00918313671900838
0.0625,0.625,-0.0239,0.0058
0.0625,0.6875,-0.0394,0.00662419806467167
0.0625,0.75,-0.0434,0.00590762219509677
0.0625,0.8125,-0.0492,0.00662419806467168
0.0625,0.875,-0.0487,0.00594810894318522
0.0625,0.9375,-0.0588,0.00729177618965365
0.0625,1,-0.0522,0.00574543296888929
0.125,0,0.2044,0.0102415819090607
0.125,0.0625,0.1997,0.0100239712689133
0.125,0.125,0.1864,0.00502195181179589
0.125,0.1875,0.1742,0.0107782187767738
0.125,0.25,0.1337,0.00946678403683109
0.125,0.3125,0.1081,0.00494974746830583
0.125,0.375,0.0733,0.00537121960079831
0.125,0.4375,0.0357,0.00519230199429887
0.125,0.5,0.0033,0.00502493781056045
0.125,0.5625,-0.0463,0.00680147042925278
0.125,0.625,-0.0683,0.00840238061504
0.125,0.6875,-0.113,0.00551089829338194
0.125,0.75,-0.1486,0.0089810912477271
0.125,0.8125,-0.1745,0.0088090862182181
0.125,0.875,-0.1925,0.00813203541556479
0.125,0.9375,-0.2001,0.00720069441095787
0.125,1,-0.2034,0.00984784240328814
0.1875,0,0.3824,0.0122930874885035
0.1875,0.0625,0.3632,0.00617170964968379
0.1875,0.125,0.3391,0.00478016736108684
0.1875,0.1875,0.3085,0.00496487663492255
0.1875,0.25,0.2548,0.00431856457633784
0.1875,0.3125,0.2014,0.00422965719651132
0.1875,0.375,0.1414,0.00608769250208977
0.1875,0.4375,0.0749,0.00601414998150196
0.1875,0.5,-0.0051,0.00720156233049468
0.1875,0.5625,-0.0702,0.004522167621838
0.1875,0.625,-0.1379,0.00453982378512646
0.1875,0.6875,-0.202,0.00678822509939088
0.1875,0.75,-0.2579,0.00514198405287297
0.1875,0.8125,-0.3116,0.00894035793466905
0.1875,0.875,-0.3517,0.0106850362657316
0.1875,0.9375,-0.3682,0.00732461603089203
0.1875,1,-0.3761,0.00799312204335701
0.25,0,0.5475,0.0192815974441953
0.25,0.0625,0.5201,0.00717007670809739
0.25,0.125,0.4878,0.00706045324324154
0.25,0.1875,0.4357,0.00680073525436768
0.25,0.25,0.3703,0.0111664676599183
0.25,0.3125,0.2776,0.0044407206622349
0.25,0.375,0.1919,0.00473814309619285
0.25,0.4375,0.0946,0.00347850542618522
0.25,0.5,0.0021,0.00333766385365573
0.25,0.5625,-0.1039,0.00578013840664738
0.25,0.625,-0.1905,0.00460434577328853
0.25,0.6875,-0.2912,0.011216059914248
0.25,0.75,-0.3699,0.010285912696499
0.25,0.8125,-0.4376,0.00943398113205661
0.25,0.875,-0.4926,0.00807217442824423
0.25,0.9375,-0.5196,0.00948103369891697
0.25,1,-0.5455,0.0167967258714311
0.3125,0,0.6727,0.0160352736178713
0.3125,0.0625,0.6586,0.0147054411698528
0.3125,0.125,0.6077,0.0131552270980018
0.3125,0.1875,0.532,0.0108503456166152
0.3125,0.25,0.4429,0.00823468275041608
0.3125,0.3125,0.3346,0.00702139587261681
0.3125,0.375,0.2269,0.0053
0.3125,0.4375,0.1206,0.00554707129934347
0.3125,0.5,0.0017,0.00315263207494944
0.3125,0.5625,-0.1161,0.00388973006775534
0.3125,0.625,-0.2314,0.00751531769122237
0.3125,0.6875,-0.3358,0.00704911341943085
0.3125,0.75,-0.4355,0.00782304288624317
0.3125,0.8125,-0.5309,0.00868216562845937
0.3125,0.875,-0.605,0.00954148835350126
0.3125,0.9375,-0.6468,0.0094201910808646
