theta_over_pi,phi_over_pi,data,error
0,0,1.97,0.120946930510865
0,0.0625,2.004,0.148849756466042
0,0.125,2.003,0.141665133325035
0,0.1875,1.959,0.105910150599459
0,0.25,1.981,0.129581210057632
0,0.3125,2.001,0.140594061040998
0,0.375,2.007,0.136156674459977
0,0.4375,1.986,0.145923987061757
0,0.5,1.962,0.119729904368123
0,0.5625,2.001,0.150920508878018
0,0.625,1.976,0.116787199641057
0,0.6875,1.986,0.132905267013764
0,0.75,1.988,0.125131930377502
0,0.8125,1.971,0.107084265884396
0,0.875,1.951,0.111986606342009
0,0.9375,1.976,0.125306384514118
0,1,1.978,0.125596536576452
0.0625,0,1.974,0.115577506462114
0.0625,0.0625,1.984,0.126943451977642
0.0625,0.125,1.979,0.123376821161837
0.0625,0.1875,2.013,0.149668600581418
0.0625,0.25,1.962,0.108934659314655
0.0625,0.3125,1.966,0.11674437887967
0.0625,0.375,1.981,0.123574916548627
0.0625,0.4375,1.961,0.114469384553251
0.0625,0.5,1.986,0.136760703420244
0.0625,0.5625,1.971,0.125556202554872
0.0625,0.625,1.981,0.131503460030526
0.0625,0.6875,1.981,0.140730558159911
0.0625,0.75,1.975,0.132693481377195
0.0625,0.8125,1.978,0.121495226243668
0.0625,0.875,2.027,0.17652659856237
0.0625,0.9375,1.96,0.106904115917022
0.0625,1,1.978,0.136121857172168
0.125,0,1.972,0.11894956914592
0.125,0.0625,1.972,0.117436961813562
0.125,0.125,1.975,0.127706264529192
0.125,0.1875,2.004,0.149160618126904
0.125,0.25,1.98,0.125523902106332
0.125,0.3125,1.964,0.124209057640737
0.125,0.375,1.959,0.123017925523072
0.125,0.4375,1.96,0.127982069056567
0.125,0.5,1.953,0.131458586634727
0.125,0.5625,1.975,0.14547539310825
0.125,0.625,1.958,0.137719316001787
0.125,0.6875,1.948,0.142889502763499
0.125,0.75,1.948,0.143287298809071
0.125,0.8125,1.941,0.143088399250254
0.125,0.875,1.941,0.134240679378495
0.125,0.9375,1.926,0.127088315749324
0.125,1,1.943,0.145972908445369
0.1875,0,2.001,0.14150745563397
0.1875,0.0625,1.985,0.138229121389091
0.1875,0.125,1.981,0.125325536104978
0.1875,0.1875,1.971,0.123414950471975
0.1875,0.25,1.985,0.138415172578732
0.1875,0.3125,1.97,0.135226661572339
0.1875,0.375,1.968,0.155431785681051
0.1875,0.4375,1.945,0.136818163998791
0.1875,0.5,1.913,0.12319805193265
0.1875,0.5625,1.924,0.145979998629949
0.1875,0.625,1.882,0.120006208172744
0.1875,0.6875,1.877,0.125375795112135
0.1875,0.75,1.88,0.134529587823646
0.1875,0.8125,1.885,0.143988055060133
0.1875,0.875,1.856,0.124092264061867
0.1875,0.9375,1.855,0.124787819918452
0.1875,1,1.871,0.149457151050059
0.25,0,1.972,0.126714205991278
