theta_over_pi,phi_over_pi,data,error
0,0,-0.00023,0.000848528137423857
0,0.0625,0.00051,0.00105209315176937
0,0.125,0.00068,0.00106254411673116
0,0.1875,0.00083,0.00124482930556763
0,0.25,0.00062,0.00110091053224138
0,0.3125,0.00013,0.000980866963456309
0,0.375,0.00134,0.0017172361514946
0,0.4375,0.00099,0.00137074760623537
0,0.5,-0.00019,0.0010204410811017
0,0.5625,-0.00052,0.00106569984517218
0,0.625,0.00107,0.00151029798384292
0,0.6875,0.00088,0.00122841198300896
0,0.75,0.00069,0.00113540345252249
0,0.8125,0.0004,0.000948683298050514
0,0.875,-0.00063,0.00106780147967682
0,0.9375,0.00085,0.00132653684456935
0,1,0.00018,0.000869621181894737
0.0625,0,0.057,0.0367200217864859
0.0625,0.0625,0.025,0.0240168690715505
0.0625,0.125,0.015,0.0268158535198863
0.0625,0.1875,0.0072,0.0284121452903507
0.0625,0.25,0.05,0.0370174283277485
0.0625,0.3125,0.012,0.0251914668092194
0.0625,0.375,-0.028,0.0399804952445564
0.0625,0.4375,-0.018,0.0298678757195754
0.0625,0.5,0.013,0.0268493947790262
0.0625,0.5625,-0.0082,0.0260232588274413
0.0625,0.625,0.038,0.0529264584116489
0.0625,0.6875,0.0054,0.0264125443681596
0.0625,0.75,-0.036,0.0396988664825584
0.0625,0.8125,-0.061,0.042169183060619
0.0625,0.875,-0.011,0.0262619496610591
0.0625,0.9375,-0.041,0.0296730517473347
0.0625,1,-0.051,0.0380406361671305
0.125,0,0.054,0.0349383743182192
0.125,0.0625,0.06,0.0255624724938727
0.125,0.125,0.039,0.0298209657791293
0.125,0.1875,0.049,0.025452111896658
0.125,0.25,0.043,0.0230367098345228
0.125,0.3125,0.058,0.0318276609256791
0.125,0.375,-0.037,0.0614654374425172
0.125,0.4375,0.012,0.0230555850066746
0.125,0.5,-0.0081,0.0238472220604413
0.125,0.5625,-0.06,0.0458812597908994
0.125,0.625,-0.012,0.0241306858584666
0.125,0.6875,-0.064,0.0328292552458931
0.125,0.75,-0.043,0.0295853004040858
0.125,0.8125,-0.042,0.0299541316015003
0.125,0.875,-0.059,0.031565962681344
0.125,0.9375,-0.039,0.0452216762183801
0.125,1,-0.069,0.0240532742053967
0.1875,0,0.159,0.0233803336160971
0.1875,0.0625,0.137,0.0288444102037119
0.1875,0.125,0.127,0.0220081802973349
0.1875,0.1875,0.128,0.0226927301134086
0.1875,0.25,0.098,0.0210287897892389
0.1875,0.3125,0.108,0.0297692794672629
0.1875,0.375,0.023,0.0395323917819299
0.1875,0.4375,0.024,0.0210002380938884
0.1875,0.5,-0.00024,0.0202936837464271
0.1875,0.5625,-0.012,0.0270185121722126
0.1875,0.625,-0.0023,0.0512956138475796
0.1875,0.6875,-0.067,0.0238849324889144
0.1875,0.75,-0.093,0.0306913668643154
0.1875,0.8125,-0.115,0.0286006992921502
0.1875,0.875,-0.092,0.0518844870842914
0.1875,0.9375,-0.119,0.0410760270717605
0.1875,1,-0.142,0.0290523665129022
0.25,0,0.255,0.0241993801573511
0.25,0.0625,0.183,0.0665420168014165
0.25,0.125,0.185,0.0488447540683746
0.25,0.1875,0.206,0.0224508351737747
0.25,0.25,0.156,0.0266587696640336
0.25,0.3125,0.134,0.0180099972237644
0.25,0.375,0.04,0.0530472430951883
0.25,0.4375,-0.0006,0.0447772263544762
0.25,0.5,-0.0073,0.0222036033111745
0.25,0.5625,-0.04,0.0235416651917404
0.25,0.625,-0.091,0.0190378570222596
0.25,0.6875,-0.137,0.0202091563406294
0.25,0.75,-0.179,0.0200062490237426
0.25,0.8125,-0.172,0.0390308852064618
0.25,0.875,-0.263,0.0273210541524298
0.25,0.9375,-0.244,0.0261168527966139
0.25,1,-0.213,0.0453854602268171
0.3125,0,0.349,0.0258118189982806
0.3125,0.0625,0.321,0.0387783444721406
0.3125,0.125,0.309,0.0265887194125629
0.3125,0.1875,0.261,0.0418669320586068
0.3125,0.25,0.244,0.0172626765016321
0.3125,0.3125,0.196,0.0187040102651811
0.3125,0.375,0.126,0.0187459328922302
0.3125,0.4375,0.084,0.0234181553500697
0.3125,0.5,-0.0044,0.0200339711490258
0.3125,0.5625,-0.07,0.0173979883894662
0.3125,0.625,-0.138,0.0176113599702011
0.3125,0.6875,-0.218,0.0322007763881556
0.3125,0.75,-0.214,0.0420386726717198
0.3125,0.8125,-0.285,0.029
0.3125,0.875,-0.316,0.025865227623201
0.3125,0.9375,-0.348,0.0246908890078912
0.3125,1,-0.327,0.041854987755344
0.375,0,0.479,0.0244182308941496
0.375,0.0625,0.436,0.030858548248419
0.375,0.125,0.426,0.0182822318112423
0.375,0.1875,0.339,0.0537587202228624
0.375,0.25,0.329,0.0162431524033976
0.375,0.3125,0.248,0.0208626460450251
0.375,0.375,0.185,0.0153587108834042
0.375,0.4375,0.098,0.0168154690686879
0.375,0.5,0.022,0.0265032545171343
0.375,0.5625,-0.085,0.0164693655008321
0.375,0.625,-0.184,0.0160449368961053
0.375,0.6875,-0.237,0.0224162887204818
0.375,0.75,-0.292,0.0357065820262876
0.375,0.8125,-0.369,0.023249946236497
0.375,0.875,-0.431,0.0204570281321604
0.375,0.9375,-0.452,0.0230019564385293
0.375,1,-0.457,0.0294823676118455
0.4375,0,0.572,0.0249447389242702
0.4375,0.0625,0.528,0.0305550323187523
0.4375,0.125,0.507,0.0236907154809642
0.4375,0.1875,0.456,0.0236381048309715
0.4375,0.25,0.382,0.0214263856028029
0.4375,0.3125,0.339,0.0288277643947636
0.4375,0.375,0.197,0.0192416215532891
0.4375,0.4375,0.081,0.0267686383665662
0.4375,0.5,-0.008,0.0165858373318925
0.4375,0.5625,-0.1,0.0149696359341168
0.4375,0.625,-0.195,0.0228825260843291
0.4375,0.6875,-0.298,0.0211426110024283
0.4375,0.75,-0.402,0.016100931650063
0.4375,0.8125,-0.458,0.0246862309800423
0.4375,0.875,-0.518,0.0213328385359286
0.4375,0.9375,-0.538,0.0327794142717651
0.4375,1,-0.534,0.049175298677283
0.5,0,0.646,0.0354970421302959
0.5,0.0625,0.618,0.0412378466945111
0.5,0.125,0.614,0.0162606887922991
0.5,0.1875,0.519,0.040853396431631
0.5,0.25,0.454,0.0160262285020525
0.5,0.3125,0.391,0.0281780056072108
0.5,0.375,0.272,0.0247969756220391
0.5,0.4375,0.117,0.017041420128616
0.5,0.5,0.0036,0.0143122325302519
0.5,0.5625,-0.127,0.0120203993278094
0.5,0.625,-0.232,0.0194743420941504
0.5,0.6875,-0.373,0.0159298462013919
0.5,0.75,-0.462,0.0165529453572468
0.5,0.8125,-0.538,0.018406792224611
0.5,0.875,-0.597,0.0234948930621103
0.5,0.9375,-0.626,0.0339689564161161
0.5,1,-0.679,0.0321753010863924
0.5625,0,0.767,0.0274765354439019
0.5625,0.0625,0.71,0.0248394846967484
0.5625,0.125,0.686,0.0171233758353895
0.5625,0.1875,0.616,0.014361058456813
0.5625,0.25,0.528,0.0176918060129541
0.5625,0.3125,0.407,0.012419339757008
0.5625,0.375,0.283,0.0149335193440796
0.5625,0.4375,0.145,0.0128280941686597
0.5625,0.5,0.0096,0.0123434192993676
0.5625,0.5625,-0.138,0.0110004545360635
0.5625,0.625,-0.282,0.0121061967603372
0.5625,0.6875,-0.418,0.0152643375224738
0.5625,0.75,-0.505,0.0206649461649432
0.5625,0.8125,-0.599,0.0256906597813291
0.5625,0.875,-0.67,0.0294108823397054
0.5625,0.9375,-0.708,0.0324967690701707
0.5625,1,-0.725,0.0327299556981063
0.625,0,0.764,0.0487056464899091
0.625,0.0625,0.771,0.0317874188949024
0.625,0.125,0.74,0.0184835061608993
0.625,0.1875,0.657,0.0159777970947186
0.625,0.25,0.57,0.0123223374405995
0.625,0.3125,0.437,0.0111628849317728
0.625,0.375,0.297,0.0111157545852722
0.625,0.4375,0.15,0.0101788997440784
0.625,0.5,0.0044,0.0101607086367044
0.625,0.5625,-0.134,0.0191230227736098
0.625,0.625,-0.302,0.0110887330205033
0.625,0.6875,-0.463,0.0299125391767399
0.625,0.75,-0.545,0.0245283509433471
0.625,0.8125,-0.678,0.0159423963067037
0.625,0.875,-0.737,0.0183469343488224
0.625,0.9375,-0.791,0.0221415898254845
0.625,1,-0.811,0.0270066658438246
0.6875,0,0.84,0.0291034362232366
0.6875,0.0625,0.841,0.020542881978924
0.6875,0.125,0.75,0.038907711317938
0.6875,0.1875,0.721,0.0195489130132598
0.6875,0.25,0.613,0.0179134028034877
0.6875,0.3125,0.47,0.0119620232402382
0.6875,0.375,0.345,0.027204595200076
0.6875,0.4375,0.1768,0.0176708800007244
0.6875,0.5,0.0058,0.0135882302011704
0.6875,0.5625,-0.174,0.0149305056846712
0.6875,0.625,-0.3183,0.0103077640640442
0.6875,0.6875,-0.438,0.0225630228471276
0.6875,0.75,-0.597,0.012001666550942
0.6875,0.8125,-0.703,0.0178044938147649
0.6875,0.875,-0.784,0.0190286625909442
0.6875,0.9375,-0.818,0.0320937688656225
0.6875,1,-0.859,0.0300539514872837
0.75,0,0.875,0.0287513477944948
0.75,0.0625,0.845,0.0293639234435727
0.75,0.125,0.8,0.0265444909538683
0.75,0.1875,0.76,0.0331549393002008
0.75,0.25,0.648,0.0332710084007082
0.75,0.3125,0.473,0.0110923396990897
0.75,0.375,0.3439,0.0193
0.75,0.4375,0.1742,0.0134617977996997
0.75,0.5,0.0085,0.0123474531786924
0.75,0.5625,-0.1665,0.0087692645073575
0.75,0.625,-0.3395,0.0142523682242637
0.75,0.6875,-0.484,0.0137931142241337
0.75,0.75,-0.622,0.0136
0.75,0.8125,-0.778,0.0407785482821544
0.75,0.875,-0.808,0.0211945747775226
0.75,0.9375,-0.835,0.040833319727889
0.75,1,-0.857,0.0496487663492257
0.8125,0,0.894,0.0297899311848819
0.8125,0.0625,0.864,0.0290043100245463
0.8125,0.125,0.835,0.014142135623731
0.8125,0.1875,0.768,0.0223033629751211
0.8125,0.25,0.633,0.0140246212070059
0.8125,0.3125,0.5021,0.015556670594957
0.8125,0.375,0.3519,0.0212953046467995
0.8125,0.4375,0.1917,0.0250503492989619
0.8125,0.5,0.0172,0.0178885438199983
0.8125,0.5625,-0.1619,0.00940212741883454
0.8125,0.625,-0.3386,0.0147200543477258
0.8125,0.6875,-0.4932,0.0142172430520126
0.8125,0.75,-0.622,0.0111305884839931
0.8125,0.8125,-0.758,0.0192520128817742
0.8125,0.875,-0.835,0.0160900590427754
0.8125,0.9375,-0.87,0.0261038311364443
0.8125,1,-0.892,0.030886890422961
0.875,0,0.879,0.0395140481348089
0.875,0.0625,0.874,0.0223439029715043
0.875,0.125,0.812,0.0218686990925386
0.875,0.1875,0.739,0.0147634684271685
0.875,0.25,0.635,0.0140868733223523
0.875,0.3125,0.5177,0.0307375991255011
0.875,0.375,0.3495,0.0184764715246174
0.875,0.4375,0.1762,0.0100603180864225
0.875,0.5,0.0011,0.00760263112349928
0.875,0.5625,-0.1749,0.0121379569944863
0.875,0.625,-0.3277,0.00939414711402797
0.875,0.6875,-0.4965,0.0144589072892802
0.875,0.75,-0.629,0.0126269552941317
0.875,0.8125,-0.735,0.0134372616257926
0.875,0.875,-0.818,0.0210021427478246
0.875,0.9375,-0.855,0.0296789487684453
0.875,1,-0.888,0.0327865826215542
0.9375,0,0.917,0.0341744056276038
0.9375,0.0625,0.841,0.039721656561629
0.9375,0.125,0.783,0.0414366987102013
0.9375,0.1875,0.729,0.0122576506721313
0.9375,0.25,0.615,0.0100404183179786
0.9375,0.3125,0.4913,0.0155801155323059
0.9375,0.375,0.3518,0.0192753728887407
0.9375,0.4375,0.1753,0.00946255779374689
0.9375,0.5,0.0072,0.0101793958563365
0.9375,0.5625,-0.174,0.00845340168216322
0.9375,0.625,-0.3316,0.00899611027055582
0.9375,0.6875,-0.5003,0.0179047479736521
0.9375,0.75,-0.62,0.0110040901486674
0.9375,0.8125,-0.717,0.0220417785126337
0.9375,0.875,-0.758,0.0574913036902104
0.9375,0.9375,-0.839,0.0365299876813557
0.9375,1,-0.883,0.0288624323299337
1,0,0.89,0.023295707759156
1,0.0625,0.826,0.0363147353012521
1,0.125,0.78,0.034169577111811
1,0.1875,0.718,0.0110004545360635
1,0.25,0.5968,0.012714165328483
1,0.3125,0.4711,0.00889550448260243
1,0.375,0.3226,0.00838152730712011
1,0.4375,0.1644,0.00769220384545287
1,0.5,0.0036,0.007324616030892
1,0.5625,-0.1691,0.00914002188181188
1,0.625,-0.3192,0.00838152730712011
1,0.6875,-0.4664,0.00909560333347932
1,0.75,-0.614,0.0100841459727634
1,0.8125,-0.693,0.0337083075813664
1,0.875,-0.792,0.0218686990925386
1,0.9375,-0.836,0.0309683709613535
1,1,-0.839,0.0502076687369569
